Model, Parameter, Density, HubDegree, AvgDistance, Clustering
Random,0.002, 0.00044297367718900386, 24, not connected, 0.0
Random,0.009, 0.002000177641357755, 76, not connected, 0.0
Random,0.1, 0.022205658966932332, 574, not connected, 0.0
Random,0.001, 0.0002228633257925424, 15, not connected, 0.0
Random,0.002, 0.0004448714273704819, 23, not connected, 0.0
Random,0.009, 0.0019975975449874474, 72, not connected, 0.0
Random,0.1, 0.022220435785421575, 592, not connected, 0.0
Random,0.001, 0.0002232879713095937, 15, not connected, 0.0
Random,0.002, 0.00044416850239823764, 24, not connected, 0.0
Random,0.009, 0.002002161663347556, 77, not connected, 0.0
Random,0.1, 0.022221326907377124, 581, not connected, 0.0
Random,0.001, 0.00022399164483138874, 15, not connected, 0.0
Random,0.002, 0.00044551811129367057, 25, not connected, 0.0
Random,0.009, 0.0020007646708266867, 73, not connected, 0.0
Random,0.1, 0.02219831543180622, 586, not connected, 0.0
Random,0.001, 0.00022368952782215968, 15, not connected, 0.0
Random,0.002, 0.0004423467956691293, 24, not connected, 0.0
Random,0.009, 0.002005989005900761, 72, not connected, 0.0
Random,0.1, 0.022195678981771987, 574, not connected, 0.0
Random,0.001, 0.00022344368438517075, 15, not connected, 0.0
Random,0.002, 0.0004425482400680668, 25, not connected, 0.0
Random,0.009, 0.001996563101132959, 80, not connected, 0.0
Random,0.1, 0.022208823717779963, 582, not connected, 0.0
Random,0.001, 0.00022457452995072627, 15, not connected, 0.0
Random,0.002, 0.0004426518064141085, 26, not connected, 0.0
Random,0.009, 0.001996420006109631, 74, not connected, 0.0
Random,0.1, 0.02221005127094092, 591, not connected, 0.0
