Source,Target,Type,Id,Label,Weight
78,17,Directed,186,,1.0
85,17,Directed,187,,1.0
71,20,Directed,188,,1.0
225,20,Directed,189,,1.0
0,21,Directed,190,,1.0
284,21,Directed,191,,1.0
31,21,Directed,192,,1.0
53,21,Directed,193,,1.0
254,21,Directed,194,,1.0
273,21,Directed,195,,1.0
226,21,Directed,196,,1.0
99,21,Directed,197,,1.0
16,22,Directed,198,,1.0
231,22,Directed,199,,1.0
273,22,Directed,200,,1.0
289,23,Directed,201,,1.0
58,23,Directed,202,,1.0
34,24,Directed,203,,1.0
68,24,Directed,204,,1.0
3,231,Directed,205,,1.0
230,231,Directed,206,,1.0
10,231,Directed,207,,1.0
12,231,Directed,208,,1.0
13,231,Directed,209,,1.0
22,231,Directed,210,,1.0
30,231,Directed,211,,1.0
32,231,Directed,212,,1.0
33,231,Directed,213,,1.0
36,231,Directed,214,,1.0
40,231,Directed,215,,1.0
41,231,Directed,216,,1.0
43,231,Directed,217,,1.0
48,231,Directed,218,,1.0
51,231,Directed,219,,1.0
53,231,Directed,220,,1.0
56,231,Directed,221,,1.0
57,231,Directed,222,,1.0
210,231,Directed,223,,1.0
62,231,Directed,224,,1.0
63,231,Directed,225,,1.0
69,231,Directed,226,,1.0
80,231,Directed,227,,1.0
308,231,Directed,228,,1.0
82,231,Directed,229,,1.0
90,231,Directed,230,,1.0
225,231,Directed,231,,1.0
226,231,Directed,232,,1.0
96,231,Directed,233,,1.0
30,26,Directed,234,,1.0
266,26,Directed,235,,1.0
273,26,Directed,236,,1.0
99,26,Directed,237,,1.0
73,27,Directed,238,,1.0
34,302,Directed,239,,1.0
92,302,Directed,240,,1.0
0,30,Directed,241,,1.0
3,30,Directed,242,,1.0
6,30,Directed,243,,1.0
10,30,Directed,244,,1.0
14,30,Directed,245,,1.0
284,30,Directed,246,,1.0
231,30,Directed,247,,1.0
26,30,Directed,248,,1.0
32,30,Directed,249,,1.0
33,30,Directed,250,,1.0
40,30,Directed,251,,1.0
41,30,Directed,252,,1.0
48,30,Directed,253,,1.0
49,30,Directed,254,,1.0
53,30,Directed,255,,1.0
266,30,Directed,256,,1.0
59,30,Directed,257,,1.0
210,30,Directed,258,,1.0
62,30,Directed,259,,1.0
63,30,Directed,260,,1.0
273,30,Directed,261,,1.0
66,30,Directed,262,,1.0
67,30,Directed,263,,1.0
69,30,Directed,264,,1.0
74,30,Directed,265,,1.0
78,30,Directed,266,,1.0
80,30,Directed,267,,1.0
308,30,Directed,268,,1.0
82,30,Directed,269,,1.0
83,30,Directed,270,,1.0
214,30,Directed,271,,1.0
225,30,Directed,272,,1.0
226,30,Directed,273,,1.0
98,30,Directed,274,,1.0
99,30,Directed,275,,1.0
217,31,Directed,276,,1.0
6,31,Directed,277,,1.0
10,31,Directed,278,,1.0
14,31,Directed,279,,1.0
284,31,Directed,280,,1.0
21,31,Directed,281,,1.0
266,31,Directed,282,,1.0
59,31,Directed,283,,1.0
254,31,Directed,284,,1.0
273,31,Directed,285,,1.0
83,31,Directed,286,,1.0
0,32,Directed,287,,1.0
3,32,Directed,288,,1.0
6,32,Directed,289,,1.0
230,32,Directed,290,,1.0
10,32,Directed,291,,1.0
16,32,Directed,292,,1.0
231,32,Directed,293,,1.0
30,32,Directed,294,,1.0
33,32,Directed,295,,1.0
267,32,Directed,296,,1.0
40,32,Directed,297,,1.0
45,32,Directed,298,,1.0
47,32,Directed,299,,1.0
53,32,Directed,300,,1.0
254,32,Directed,301,,1.0
210,32,Directed,302,,1.0
62,32,Directed,303,,1.0
63,32,Directed,304,,1.0
67,32,Directed,305,,1.0
71,32,Directed,306,,1.0
308,32,Directed,307,,1.0
82,32,Directed,308,,1.0
84,32,Directed,309,,1.0
225,32,Directed,310,,1.0
226,32,Directed,311,,1.0
10,33,Directed,312,,1.0
231,33,Directed,313,,1.0
30,33,Directed,314,,1.0
32,33,Directed,315,,1.0
40,33,Directed,316,,1.0
48,33,Directed,317,,1.0
53,33,Directed,318,,1.0
266,33,Directed,319,,1.0
59,33,Directed,320,,1.0
254,33,Directed,321,,1.0
62,33,Directed,322,,1.0
273,33,Directed,323,,1.0
69,33,Directed,324,,1.0
80,33,Directed,325,,1.0
225,33,Directed,326,,1.0
230,34,Directed,327,,1.0
24,34,Directed,328,,1.0
302,34,Directed,329,,1.0
67,34,Directed,330,,1.0
68,34,Directed,331,,1.0
89,34,Directed,332,,1.0
92,34,Directed,333,,1.0
94,34,Directed,334,,1.0
230,36,Directed,335,,1.0
216,36,Directed,336,,1.0
13,36,Directed,337,,1.0
231,36,Directed,338,,1.0
38,36,Directed,339,,1.0
41,36,Directed,340,,1.0
46,36,Directed,341,,1.0
259,36,Directed,342,,1.0
289,36,Directed,343,,1.0
266,36,Directed,344,,1.0
205,36,Directed,345,,1.0
96,36,Directed,346,,1.0
9,37,Directed,347,,1.0
216,38,Directed,348,,1.0
36,38,Directed,349,,1.0
289,38,Directed,350,,1.0
210,38,Directed,351,,1.0
99,38,Directed,352,,1.0
32,267,Directed,353,,1.0
210,267,Directed,354,,1.0
69,267,Directed,355,,1.0
80,267,Directed,356,,1.0
0,40,Directed,357,,1.0
3,40,Directed,358,,1.0
230,40,Directed,359,,1.0
10,40,Directed,360,,1.0
231,40,Directed,361,,1.0
30,40,Directed,362,,1.0
32,40,Directed,363,,1.0
33,40,Directed,364,,1.0
41,40,Directed,365,,1.0
43,40,Directed,366,,1.0
45,40,Directed,367,,1.0
48,40,Directed,368,,1.0
53,40,Directed,369,,1.0
266,40,Directed,370,,1.0
57,40,Directed,371,,1.0
59,40,Directed,372,,1.0
254,40,Directed,373,,1.0
210,40,Directed,374,,1.0
62,40,Directed,375,,1.0
273,40,Directed,376,,1.0
66,40,Directed,377,,1.0
69,40,Directed,378,,1.0
71,40,Directed,379,,1.0
308,40,Directed,380,,1.0
82,40,Directed,381,,1.0
84,40,Directed,382,,1.0
99,40,Directed,383,,1.0
0,41,Directed,384,,1.0
3,41,Directed,385,,1.0
230,41,Directed,386,,1.0
12,41,Directed,387,,1.0
16,41,Directed,388,,1.0
231,41,Directed,389,,1.0
30,41,Directed,390,,1.0
36,41,Directed,391,,1.0
40,41,Directed,392,,1.0
43,41,Directed,393,,1.0
45,41,Directed,394,,1.0
49,41,Directed,395,,1.0
53,41,Directed,396,,1.0
59,41,Directed,397,,1.0
62,41,Directed,398,,1.0
63,41,Directed,399,,1.0
69,41,Directed,400,,1.0
71,41,Directed,401,,1.0
75,41,Directed,402,,1.0
78,41,Directed,403,,1.0
82,41,Directed,404,,1.0
84,41,Directed,405,,1.0
90,41,Directed,406,,1.0
225,41,Directed,407,,1.0
226,41,Directed,408,,1.0
96,41,Directed,409,,1.0
98,41,Directed,410,,1.0
99,41,Directed,411,,1.0
80,42,Directed,412,,1.0
230,43,Directed,413,,1.0
16,43,Directed,414,,1.0
231,43,Directed,415,,1.0
40,43,Directed,416,,1.0
41,43,Directed,417,,1.0
49,43,Directed,418,,1.0
53,43,Directed,419,,1.0
266,43,Directed,420,,1.0
57,43,Directed,421,,1.0
210,43,Directed,422,,1.0
62,43,Directed,423,,1.0
63,43,Directed,424,,1.0
69,43,Directed,425,,1.0
73,43,Directed,426,,1.0
308,43,Directed,427,,1.0
82,43,Directed,428,,1.0
90,43,Directed,429,,1.0
214,44,Directed,430,,1.0
0,45,Directed,431,,1.0
230,45,Directed,432,,1.0
12,45,Directed,433,,1.0
32,45,Directed,434,,1.0
40,45,Directed,435,,1.0
41,45,Directed,436,,1.0
47,45,Directed,437,,1.0
49,45,Directed,438,,1.0
62,45,Directed,439,,1.0
63,45,Directed,440,,1.0
69,45,Directed,441,,1.0
82,45,Directed,442,,1.0
225,45,Directed,443,,1.0
36,46,Directed,444,,1.0
289,46,Directed,445,,1.0
99,46,Directed,446,,1.0
1,47,Directed,447,,1.0
16,47,Directed,448,,1.0
32,47,Directed,449,,1.0
45,47,Directed,450,,1.0
273,47,Directed,451,,1.0
69,47,Directed,452,,1.0
71,47,Directed,453,,1.0
80,47,Directed,454,,1.0
225,47,Directed,455,,1.0
226,47,Directed,456,,1.0
3,48,Directed,457,,1.0
231,48,Directed,458,,1.0
30,48,Directed,459,,1.0
33,48,Directed,460,,1.0
40,48,Directed,461,,1.0
266,48,Directed,462,,1.0
254,48,Directed,463,,1.0
210,48,Directed,464,,1.0
308,48,Directed,465,,1.0
86,48,Directed,466,,1.0
225,48,Directed,467,,1.0
0,49,Directed,468,,1.0
1,49,Directed,469,,1.0
10,49,Directed,470,,1.0
30,49,Directed,471,,1.0
41,49,Directed,472,,1.0
43,49,Directed,473,,1.0
45,49,Directed,474,,1.0
266,49,Directed,475,,1.0
210,49,Directed,476,,1.0
62,49,Directed,477,,1.0
84,49,Directed,478,,1.0
225,49,Directed,479,,1.0
226,49,Directed,480,,1.0
99,49,Directed,481,,1.0
216,259,Directed,482,,1.0
13,259,Directed,483,,1.0
36,259,Directed,484,,1.0
56,259,Directed,485,,1.0
96,259,Directed,486,,1.0
1,51,Directed,487,,1.0
230,51,Directed,488,,1.0
231,51,Directed,489,,1.0
62,51,Directed,490,,1.0
69,51,Directed,491,,1.0
80,51,Directed,492,,1.0
230,52,Directed,493,,1.0
69,52,Directed,494,,1.0
225,52,Directed,495,,1.0
0,53,Directed,496,,1.0
1,53,Directed,497,,1.0
3,53,Directed,498,,1.0
217,53,Directed,499,,1.0
13,53,Directed,500,,1.0
21,53,Directed,501,,1.0
231,53,Directed,502,,1.0
30,53,Directed,503,,1.0
32,53,Directed,504,,1.0
33,53,Directed,505,,1.0
40,53,Directed,506,,1.0
41,53,Directed,507,,1.0
43,53,Directed,508,,1.0
266,53,Directed,509,,1.0
254,53,Directed,510,,1.0
210,53,Directed,511,,1.0
62,53,Directed,512,,1.0
63,53,Directed,513,,1.0
273,53,Directed,514,,1.0
69,53,Directed,515,,1.0
74,53,Directed,516,,1.0
86,53,Directed,517,,1.0
214,53,Directed,518,,1.0
225,53,Directed,519,,1.0
3,289,Directed,520,,1.0
23,289,Directed,521,,1.0
36,289,Directed,522,,1.0
38,289,Directed,523,,1.0
46,289,Directed,524,,1.0
56,289,Directed,525,,1.0
72,289,Directed,526,,1.0
90,289,Directed,527,,1.0
0,266,Directed,528,,1.0
1,266,Directed,529,,1.0
217,266,Directed,530,,1.0
6,266,Directed,531,,1.0
10,266,Directed,532,,1.0
13,266,Directed,533,,1.0
284,266,Directed,534,,1.0
17,266,Directed,535,,1.0
26,266,Directed,536,,1.0
30,266,Directed,537,,1.0
31,266,Directed,538,,1.0
33,266,Directed,539,,1.0
36,266,Directed,540,,1.0
40,266,Directed,541,,1.0
43,266,Directed,542,,1.0
48,266,Directed,543,,1.0
49,266,Directed,544,,1.0
53,266,Directed,545,,1.0
56,266,Directed,546,,1.0
57,266,Directed,547,,1.0
254,266,Directed,548,,1.0
210,266,Directed,549,,1.0
273,266,Directed,550,,1.0
67,266,Directed,551,,1.0
69,266,Directed,552,,1.0
74,266,Directed,553,,1.0
308,266,Directed,554,,1.0
82,266,Directed,555,,1.0
83,266,Directed,556,,1.0
84,266,Directed,557,,1.0
86,266,Directed,558,,1.0
225,266,Directed,559,,1.0
226,266,Directed,560,,1.0
99,266,Directed,561,,1.0
231,56,Directed,562,,1.0
259,56,Directed,563,,1.0
289,56,Directed,564,,1.0
266,56,Directed,565,,1.0
217,57,Directed,566,,1.0
6,57,Directed,567,,1.0
13,57,Directed,568,,1.0
231,57,Directed,569,,1.0
40,57,Directed,570,,1.0
43,57,Directed,571,,1.0
266,57,Directed,572,,1.0
210,57,Directed,573,,1.0
273,57,Directed,574,,1.0
67,57,Directed,575,,1.0
69,57,Directed,576,,1.0
308,57,Directed,577,,1.0
83,57,Directed,578,,1.0
225,57,Directed,579,,1.0
96,57,Directed,580,,1.0
230,58,Directed,581,,1.0
23,58,Directed,582,,1.0
254,58,Directed,583,,1.0
67,58,Directed,584,,1.0
90,58,Directed,585,,1.0
30,59,Directed,586,,1.0
31,59,Directed,587,,1.0
33,59,Directed,588,,1.0
40,59,Directed,589,,1.0
41,59,Directed,590,,1.0
254,59,Directed,591,,1.0
69,59,Directed,592,,1.0
225,59,Directed,593,,1.0
0,254,Directed,594,,1.0
217,254,Directed,595,,1.0
6,254,Directed,596,,1.0
10,254,Directed,597,,1.0
284,254,Directed,598,,1.0
21,254,Directed,599,,1.0
31,254,Directed,600,,1.0
32,254,Directed,601,,1.0
33,254,Directed,602,,1.0
40,254,Directed,603,,1.0
48,254,Directed,604,,1.0
53,254,Directed,605,,1.0
266,254,Directed,606,,1.0
58,254,Directed,607,,1.0
59,254,Directed,608,,1.0
210,254,Directed,609,,1.0
273,254,Directed,610,,1.0
69,254,Directed,611,,1.0
71,254,Directed,612,,1.0
80,254,Directed,613,,1.0
83,254,Directed,614,,1.0
84,254,Directed,615,,1.0
90,254,Directed,616,,1.0
225,254,Directed,617,,1.0
226,254,Directed,618,,1.0
99,254,Directed,619,,1.0
230,210,Directed,620,,1.0
10,210,Directed,621,,1.0
284,210,Directed,622,,1.0
231,210,Directed,623,,1.0
30,210,Directed,624,,1.0
32,210,Directed,625,,1.0
38,210,Directed,626,,1.0
267,210,Directed,627,,1.0
40,210,Directed,628,,1.0
43,210,Directed,629,,1.0
48,210,Directed,630,,1.0
49,210,Directed,631,,1.0
53,210,Directed,632,,1.0
266,210,Directed,633,,1.0
57,210,Directed,634,,1.0
