Id,Label,Country,Following,Followers,Tweets
113,@janmeyer,Germany,116,782200,5148
457,@iamjohnoliver,United_kingdom,102,4768056,361
368,@beppesevergnini,Italy,264,1137204,7547
499,@GaryLineker,United_kingdom,919,6883066,25465
376,@casaleantonio,Italy,389,1061787,32099
378,@Fedez,Italy,745,1950528,9930
664,@Rafinha,Spain,255,2053035,1646
151,@FelixLaden,Germany,242,2133259,8693
677,@flofdezz,Spain,206,1706763,10323
597,@JohnCena,United_states,2493,10887105,5590
83,@Seb_Frit,France,700,1487890,13175
706,@FCBarcelona_cat,Spain,72,5687977,82874
518,@officialtulisa,United_kingdom,2463,3545903,8707
697,@ctello91,Spain,225,1947677,916
547,@Starbucks,United_states,98378,11943835,123860
77,@Le_Figaro,France,569,2879273,386279
598,@enews,United_states,120119,11963752,209874
709,@XabiAlonso,Spain,527,11672689,590
338,@elisatoffoli,Italy,285,1123683,4836
582,@kobebryant,United_states,358,13455453,1395
586,@washingtonpost,United_states,1457,11955312,254528
658,@IkerCasillas,Spain,1732,7875065,3066
445,@simonpegg,United_kingdom,0,6530902,15886
135,@Sturmwaffel,Germany,330,734126,9677
434,@PaulMcCartney,United_kingdom,16,3794738,4224
72,@LeTour,France,664,2939118,24099
332,@reportrai3,Italy,9440,1257351,9099
188,@SkySportNewsHD,Germany,334,681903,96644
139,@Lenas_view,Germany,554,763096,4743
684,@fifacom_es,Spain,384,4523963,47429
22,@Sopranopsy4,France,24,2502574,9616
52,@NicolasSarkozy,France,15624,2127040,9601
615,@justinbieber,United_states,317043,105285271,30639
133,@wolfblitzer,Germany,1144,1419440,9584
27,@ThierryHenry,France,54,2128089,392
388,@beppe_grillo,Italy,366,2518634,75046
594,@Oprah,United_states,288,41370862,12371
384,@lauraboldrini,Italy,4202,817499,7091
75,@GhoulamFaouzi,France,103,1509774,925
387,@marcotravaglio,Italy,112,1525131,2385
683,@SergiRoberto10,Spain,635,2005094,2394
102,@matshummels,Germany,157,1994920,1078
128,@TomasRincon5,Germany,204,705075,1349
441,@Slash,United_kingdom,713,3751241,9564
536,@LilTunechi,United_states,48,33353648,1795
623,@isco_alarcon,Spain,310,4610312,876
491,@stephenfry,United_kingdom,50415,13040146,22632
509,@Reuters,United_kingdom,1067,19310795,240737
423,@Wimbledon,United_kingdom,368,3481205,23408
587,@ZacEfron,United_states,105,15852807,1676
691,@alo_oficial,Spain,91,2547339,6054
622,@AlvaroMorata,Spain,904,4135132,2323
47,@NRJ12lachaine,France,882,2992451,57934
695,@ristomejide,Spain,1379,2869033,27989
534,@jtimberlake,United_states,260,65041447,3787
142,@unge,Germany,431,2052683,14524
486,@ManCity,United_kingdom,54788,5730509,108637
26,@SamNasri19,France,82,2706188,545
433,@Caradelevingne,United_kingdom,1046,10249059,7396
317,@officiallyjoko,Germany,862,2252935,1845
487,@LittleMix,United_kingdom,30816,11244650,30170
49,@TPMP,France,1895,3293731,70833
567,@jimmykimmel,United_states,577,10971473,5083
357,@BRUNOIERULLO,Italy,6579,3568455,1016
560,@aliciakeys,United_states,689,30298933,7338
46,@OM_Officiel,France,118,2826212,77405
465,@lemontwittor,United_kingdom,3302,3695411,69624
476,@JoeyEssex_,United_kingdom,394,3592294,23243
289,@lequipe,France,1755,4988856,171365
679,@Pablo_Iglesias_,Spain,2521,2274245,17114
702,@mundodeportivo,Spain,966,2403131,256758
9,@afpfr,France,1384,2963949,329597
604,@Ludacris,United_states,321,12132443,20324
502,@Lord_Sugar,United_kingdom,2122,5449204,44995
398,@DiMarzio,Italy,1513,848009,182192
34,@RFI,France,617,1709007,222082
424,@BritishVogue,United_kingdom,1704,3597346,283455
196,@TheBorisBecker,Germany,1039,708857,20429
117,@MSchweighoefer,Germany,107,834641,1306
436,@rickygervais,United_kingdom,1224,12982855,47409
348,@andreabarzagli2,Italy,54,811619,352
456,@EmmaWatson,United_kingdom,383,28329978,1613
53,@MichaelYoun,France,430,2569423,5260
432,@TheVampsband,United_kingdom,48232,4241969,21982
104,@s04,Germany,46,698304,43754
609,@MarcAnthony,United_states,750,11158242,6471
209,@Zedd,Germany,303,7816175,30362
298,@ToniKroos,Germany,107,6304567,2030
405,@NaliOfficial,Italy,349,842812,4874
132,@ZDF,Germany,376,1154365,156907
461,@CherylOfficial,United_kingdom,952,6411472,6512
696,@CesarAzpi,Spain,199,1776532,669
119,@dyzzydyzzy,Germany,130,826983,1555
410,@ScuderiaFerrari,Italy,34,2061331,44241
531,@Eminem,United_states,0,22398893,726
307,@Manuel_Neuer,Germany,48,4039849,157
681,@marcmarquez93,Spain,237,2348126,3386
125,@BergmannToGo,Germany,317,767102,5829
495,@PointlessBlog,United_kingdom,353,5604347,19611
579,@taylorswift13,United_states,0,85815004,83
223,@FCBayern,Germany,34,4287076,46339
656,@fifaworldcup_es,Spain,311,1952345,10585
87,@TwitterFrance,France,51,3273554,1760
508,@LiamPayne,United_kingdom,16534,31425102,10045
40,@Arthur_Officiel,France,6471,2151312,11023
328,@AmorosoOF,Italy,209,1496155,11437
216,@Benzema,France,64,7782634,1499
600,@khloekardashian,United_states,307,25725190,56701
97,@booba,France,32,4300166,4080
38,@OL,France,1173,1477550,41983
335,@MarroneEmma,Italy,738,2449681,11099
589,@SethMacFarlane,United_states,423,14051829,7672
563,@TEDTalks,United_states,544,10927002,25736
205,@paulpogba,France,15,4637442,589
154,@Cheng_Loew,Germany,262,700544,10441
482,@Adele,United_kingdom,156,28943388,301
700,@realmadriden,Spain,52,9428064,34705
611,@FoxNews,United_states,411,16998853,356037
189,@PAULVANDYK,Germany,593,1374716,16549
553,@TheOnion,United_states,15,11040438,57135
283,@BSchweinsteiger,Germany,130,4825452,1096
285,@woodyinho,Germany,66,2972744,193
716,@VogueSpain,Spain,373,2723144,48908
403,@AndreaDipre,Italy,1069,1782052,4921
467,@LFC,United_kingdom,385677,9574807,68733
455,@piersmorgan,United_kingdom,1618,6335205,110961
642,@Carles5puyol,Spain,371,10848721,2154
496,@TheXFactor,United_kingdom,26052,7144998,36326
474,@rioferdy5,United_kingdom,568,9933287,18204
399,@GiGiHadid,Italy,583,8472170,15905
546,@BigSean,United_states,2233,14352395,20412
562,@johnlegend,United_states,837,11545248,11808
0,@JeanLucLemoine,France,1354,1920987,13439
185,@SamiSlimani,Germany,505,916102,54023
45,@b_giabiconi,France,8115,1690198,21168
533,@WSJ,United_states,1101,15428224,230237
390,@MrAncelotti,Italy,16,2338860,393
339,@msderossi,Italy,545,1649345,35779
588,@AP,United_states,7221,12282395,200367
344,@carmelitadurso,Italy,1166,816304,14269
719,@llorentefer19,Spain,541,2069395,1113
429,@hollywills,United_kingdom,280,7467313,6174
657,@davidbisbal,Spain,754,10000304,16488
331,@lodocomello,Italy,862,1213479,18199
401,@FinallyMario,Italy,68,3877853,1162
134,@dagibee,Germany,152,2029368,16476
629,@nachofi1990,Spain,682,1926819,1619
31,@Hugotoutseul,France,839,1696058,4967
352,@FabriFibra,Italy,23,1154514,5831
42,@kenzafarah,France,35,1379419,46668
24,@France24_fr,France,1366,2650271,121516
63,@TalOfficial,France,11069,2328478,20893
108,@HulkHulkenberg,Germany,46,743855,952
144,@damitdasklaas,Germany,786,1805147,4906
41,@ObispoPascal,France,1001285,1421016,6021
126,@Bundesliga_EN,Germany,329,739034,103630
89,@EmmanuelMacron,France,671,2665577,5695
294,@MesutOzil1088,Germany,82,21265748,1311
507,@Arsenal,United_kingdom,157334,12859109,77882
454,@KSIOlajidebt,United_kingdom,655,3921952,318
676,@Pontifex_es,Spain,8,15842306,1408
426,@wossy,United_kingdom,8469,5406866,24660
157,@J_Klinsmann,Germany,5,932570,938
351,@LauraPausini,Italy,1744,3283126,13542
524,@KendallJenner,United_states,129,25970027,9152
103,@iBlali,Germany,264,1517223,12509
634,@CristiPedroche,Spain,230,2372380,7670
345,@Radio105,Italy,2370,1467216,44551
183,@oliverpocher,Germany,138,779786,146
118,@izziofficial,Germany,268,895207,4351
673,@SSantiagosegura,Spain,1134,3486720,50382
674,@A3Noticias,Spain,395,1671180,184257
529,@TheRock,United_states,192,12443244,20694
484,@andy_murray,United_kingdom,136,3718554,2836
114,@DeutscheBank,Germany,266,682775,11933
177,@mertesacker,Germany,238,1548237,414
380,@Inter,Italy,64,1546955,69819
30,@MalikBentalha,France,2098,1939988,13528
131,@Taddl,Germany,145,1505754,1796
174,@SZ,Germany,412,1431258,108985
230,@TF1,France,827,5189411,46159
601,@katyperry,United_states,204,108412149,8819
552,@nickjonas,United_states,692,13194960,4411
