Id, Probabilidad
0, 44
1, 35
2, 40
3, 33
4, 35
5, 14
6, 39
7, 35
8, 23
9, 38
10, 41
11, 39
12, 11
13, 28
14, 35
15, 19
16, 24
17, 22
18, 4
19, 26
20, 8
21, 11
22, 10
23, 23
24, 8
25, 7
26, 13
27, 16
28, 4
29, 14
30, 20
31, 12
32, 12
33, 25
34, 7
35, 12
36, 5
37, 12
38, 14
39, 12
40, 21
41, 7
42, 4
43, 4
44, 13
45, 10
46, 13
47, 11
48, 12
49, 10
50, 13
51, 11
52, 7
53, 9
54, 10
55, 8
56, 9
57, 14
58, 7
59, 7
60, 10
61, 7
62, 4
63, 4
64, 7
65, 8
66, 9
67, 3
68, 8
69, 6
70, 9
71, 6
72, 11
73, 14
74, 5
75, 8
76, 5
77, 5
78, 10
79, 22
80, 5
81, 3
82, 7
83, 6
84, 11
85, 4
86, 4
87, 6
88, 6
89, 8
90, 8
91, 19
92, 6
93, 7
94, 14
95, 7
96, 7
97, 3
98, 6
99, 5
100, 7
101, 5
102, 5
103, 5
104, 6
105, 4
106, 5
107, 5
108, 4
109, 5
110, 4
111, 4
112, 11
113, 11
114, 10
115, 3
116, 4
117, 4
118, 6
119, 7
120, 3
121, 4
122, 5
123, 3
124, 8
125, 3
126, 4
127, 4
128, 3
129, 4
130, 8
131, 5
132, 5
133, 6
134, 6
135, 4
136, 6
137, 4
138, 6
139, 5
140, 9
141, 5
142, 9
143, 8
144, 5
145, 6
146, 5
147, 4
148, 5
149, 5
150, 8
151, 8
152, 9
153, 6
154, 6
155, 4
156, 11
157, 5
158, 5
159, 4
160, 6
161, 9
162, 4
163, 5
164, 10
165, 6
166, 3
167, 3
168, 7
169, 4
170, 8
171, 7
172, 5
173, 5
174, 4
175, 5
176, 3
177, 5
178, 5
179, 6
180, 4
181, 4
182, 5
183, 4
184, 4
185, 4
186, 7
187, 9
188, 3
189, 3
190, 4
191, 4
192, 3
193, 5
194, 5
195, 3
196, 5
197, 4
198, 11
199, 3
200, 6
201, 5
202, 5
203, 4
204, 4
205, 5
206, 4
207, 4
208, 8
209, 5
210, 4
211, 3
212, 4
213, 6
214, 3
215, 3
216, 5
217, 5
218, 4
219, 3
220, 7
221, 7
222, 4
223, 4
224, 4
225, 4
226, 3
227, 3
228, 4
229, 3
230, 3
231, 4
232, 3
233, 5
234, 5
235, 3
236, 5
237, 3
238, 8
239, 4
240, 3
241, 3
242, 3
243, 4
244, 4
245, 6
246, 9
247, 6
248, 4
249, 3
250, 4
251, 4
252, 5
253, 3
254, 3
255, 3
256, 6
257, 5
258, 5
259, 3
260, 3
261, 4
262, 4
263, 4
264, 4
265, 3
266, 3
267, 3
268, 3
269, 3
270, 3
271, 3
272, 5
273, 4
274, 7
275, 4
276, 3
277, 3
278, 3
279, 5
280, 4
281, 3
282, 3
283, 4
284, 4
285, 5
286, 5
287, 4
288, 7
289, 3
290, 4
291, 6
292, 3
293, 6
294, 6
295, 6
296, 3
297, 5
298, 3
299, 4
300, 4
301, 4
302, 4
303, 4
304, 3
305, 3
306, 3
307, 4
308, 3
309, 3
310, 5
311, 4
312, 3
313, 4
314, 3
315, 3
316, 5
317, 5
318, 3
319, 3
320, 4
321, 5
322, 3
323, 3
324, 3
325, 4
326, 3
327, 3
328, 3
329, 3
330, 3
331, 4
332, 5
333, 4
334, 3
335, 3
336, 5
337, 4
338, 3
339, 5
340, 5
341, 3
342, 3
343, 5
344, 5
345, 3
346, 3
347, 3
348, 3
349, 4
350, 3
351, 3
352, 3
353, 3
354, 3
355, 4
356, 4
357, 4
358, 3
359, 4
360, 3
361, 4
362, 3
363, 5
364, 3
365, 5
366, 3
367, 6
368, 3
369, 4
370, 3
371, 3
372, 3
373, 3
374, 3
375, 4
376, 3
377, 5
378, 3
379, 4
380, 5
381, 4
382, 4
383, 3
384, 3
385, 3
386, 3
387, 3
388, 5
389, 3
390, 3
391, 3
392, 4
393, 6
394, 4
395, 3
396, 4
397, 3
398, 3
399, 3
400, 3
401, 3
402, 3
403, 3
404, 4
405, 3
406, 3
407, 3
408, 3
409, 3
410, 4
411, 5
412, 5
413, 4
414, 3
415, 3
416, 3
417, 3
418, 3
419, 3
420, 3
421, 4
422, 3
423, 3
424, 4
425, 3
426, 3
427, 3
428, 3
429, 3
430, 5
431, 3
432, 3
433, 3
434, 3
435, 4
436, 3
437, 3
438, 3
439, 3
440, 3
441, 3
442, 3
443, 3
444, 3
445, 3
446, 3
447, 4
448, 3
449, 3
450, 3
451, 3
452, 4
453, 3
454, 3
455, 3
456, 3
457, 3
458, 3
459, 3
460, 3
461, 3
462, 3
463, 3
464, 3
465, 3
466, 4
467, 3
468, 3
469, 3
470, 3
471, 3
472, 3
473, 3
474, 3
475, 3
476, 3
477, 3
478, 3
479, 3
480, 3
481, 3
482, 3
483, 3
484, 3
485, 3
486, 3
487, 3
488, 3
489, 3
490, 3
491, 3
492, 3
493, 3
494, 3
495, 3
