Episode_id,Location_id,NamedCharacters
37,5,marge_simpson:lisa_simpson
37,413,lisa_simpson:homer_simpson
37,414,nelson_muntz:homer_simpson:minnesota_girl:alabama_boy:queens_boy
37,415,lisa_simpson:jasper_beardly:female_judge
37,415,female_judge:lisa_simpson:dad:homer_simpson
37,416,flight_attendant:homer_simpson:man_1:bart_simpson
37,417,pilot:bart_simpson
37,352,marge_simpson:homer_simpson:irs_man
37,421,bart_simpson:hotel_guest
37,420,marge_simpson:homer_simpson:bart_simpson:lisa_simpson:miss_crowley:truongmaria:truong:maria
37,422,bart_simpson:homer_simpson:marge_simpson:barbara:lisa_simpson
37,423,homer_simpson:worker:guide
37,426,lobbyist:arnold:secretary:lisa_simpson
37,15,moe_szyslak:barney_gumble
37,420,lisa_simpson:marge_simpson:homer_simpson
37,428,lisa_simpson:arnold:lobbyist
37,429,lisa_simpson:man_2:newlywed_wife:white_trash_woman_1:man_3:old_timer
37,430,lisa_simpson:thomas_jefferson
37,420,bart_simpson:guy:homer_simpson
37,432,songster:bart_simpson:marge_simpson:miss_crowley:lisa_simpson
37,433,page:senator:oil_developer:arnold:agent:speaker:majority_leader:everyone_else:president:foreign_dignitary
37,434,truong:miss_crowley
37,432,marge_simpson:homer_simpson:lisa_simpson:paper_boy
37,434,songster:bart_simpson:marge_simpson:miss_crowley:truong:homer_simpson:lisa_simpson
38,5,ned_flanders:homer_simpson:lisa_simpson
38,5,marge_simpson:homer_simpson
38,188,ned_flanders:marge_simpson
38,5,announcer:sportscaster_1:homer_simpson:ned_flanders
38,435,bart_simpson:girl:homer_simpson:ned_flanders:neighborhood_guy:maude_flanders
38,5,bart_simpson:marge_simpson:homer_simpson:akira:doctor:homemaker:landscaper:choreographer:george_washington
38,436,homer_simpson:ned_flanders:woman
38,437,akira:bart_simpson
38,101,bart_simpson:video_voice
38,5,homer_simpson:lisa_simpson:marge_simpson:bart_simpson
38,8,bart_simpson:homer_simpson
38,438,jimbo_jones:dolph:kearney_zzyzwicz:homer_simpson:ned_flanders:man_shopper
38,15,barney_gumble:homer_simpson:moe_szyslak:homer_contd
38,5,bart_simpson:lisa_simpson
38,10,homer_simpson:waylon_smithers:c_montgomery_burns:ned_flanders
38,1,homer_simpson:ned_flanders:man
38,5,homer_simpson:bart_simpson:marge_simpson:lisa_simpson:collection_agent
38,5,homer_simpson:collection_agent
38,3,kearney_zzyzwicz:dolph:lisa_simpson:bart_simpson:jimbo_jones
38,5,ned_flanders:homer_simpson:rod_flanders:todd_flanders:maude_flanders
38,5,ned_flanders:homer_simpson:moe_szyslak:barney_gumble:wife:neighborhood_guy
38,51,c_montgomery_burns:waylon_smithers
38,8,maude_flanders:homer_simpson:ned_flanders:c_montgomery_burns:moe_szyslak:barney_gumble:collection_agent:akira:todd_flanders:shoppers
39,59,bart_simpson:lisa_simpson:homer_simpson
39,441,edna_krabappel-flanders:bart_simpson
39,441,edna_krabappel-flanders:bart_simpson
39,442,lisa_simpson:ralph_wiggum
39,28,seymour_skinner:bart_simpson
39,443,milhouse_van_houten:lisa_simpson
39,28,seymour_skinner:bart_simpson
39,28,bart_simpson:seymour_skinner
39,446,fat_tony:bart_simpson:legs:louie:joey:race_announcer
39,5,marge_simpson:bart_simpson:homer_simpson:fat_tony:legs:chief_wiggum:delivery_man:kent_brockman
39,5,chief_wiggum:reporter:jack_larson:kent_brockman:lisa_simpson:bart_simpson
39,447,fat_tony:bart_simpson
39,5,bart_simpson:marge_simpson
39,5,homer_simpson:marge_simpson
39,448,fbi_agent_1:fbi_agent_2
39,5,homer_simpson:marge_simpson
39,447,homer_simpson:fat_tony:joey:legs
39,5,marge_simpson:homer_simpson
39,3,bart_simpson:seymour_skinner
39,447,rival_gang_leader:fat_tony:louie:bart_simpson
39,28,secretary:seymour_skinner:fat_tony
39,3,edna_krabappel-flanders:bart_simpson:groundskeeper_willie
39,192,chief_wiggum:psychic
39,76,edna_krabappel-flanders:groundskeeper_willie
39,103,lewis_clark:bart_simpson:milhouse_van_houten:richard:nelson_muntz
39,5,skinner_body:bart_simpson
39,450,bart_simpson:rev_timothy_lovejoy
39,446,fat_tony:bart_simpson:legs:chief_wiggum
39,453,marge_simpson:homer_simpson:bart_simpson:lionel_hutz
39,194,fat_tony:blue-haired_lawyer:bart_simpson:louie:legs:lionel_hutz:homer_simpson:judge_snyder:seymour_skinner:marge_simpson
39,28,seymour_skinner:louie:fat_tony
39,455,chief_wiggum:lou:psychic:seymour_skinner
39,454,seymour_skinner:chief_wiggum:eddie
39,194,seymour_skinner:prosecuting_attorney:judge_snyder:lionel_hutz
39,456,fat_tony:bart_simpson
39,25,announcer:joe:neil:bart_simpson:homer_simpson:marge_simpson
40,5,homer_simpson:lisa_simpson:bart_simpson
40,71,bart_simpson:milhouse_van_houten:sherri_mackleberry:terri_mackleberry:martin_prince:otto_mann
40,10,c_montgomery_burns:waylon_smithers:homer_simpson:lenny_leonard:carl_carlson
40,136,apu_nahasapeemapetilon:otto_mann
40,51,c_montgomery_burns:calm_woman:waylon_smithers
40,457,homer_simpson:calm_woman
40,458,bart_simpson:otto_mann
40,5,mr_devereaux:margarita:announcer
40,5,kent_brockman:marge_simpson:c_montgomery_burns
40,51,c_montgomery_burns:waylon_smithers
40,5,kent_brockman:c_montgomery_burns:marge_simpson
40,51,calm_woman:waylon_smithers:c_montgomery_burns
40,15,moe_szyslak:barney_gumble
40,79,kent_brockman:grampa_simpson:jasper_beardly:program_voices
40,457,calm_woman:homer_simpson
40,10,instructor:homer_simpson
40,51,calm_woman:c_montgomery_burns:waylon_smithers:professor_jonathan_frink:kent_brockman
40,457,calm_woman:homer_simpson
40,10,female_worker:male_worker
40,5,c_montgomery_burns:kent_brockman
40,51,c_montgomery_burns:waylon_smithers
40,77,bart_simpson:milhouse_van_houten
40,10,waylon_smithers:c_montgomery_burns:carl_carlson:lenny_leonard:homer_simpson:magic_johnson:doctor
40,5,bart_simpson:marge_simpson:lisa_simpson:homer_simpson:milhouse_van_houten
40,51,c_montgomery_burns:homer_simpson:aristotle:waylon_smithers
40,5,bart_simpson:marge_simpson
40,275,marge_simpson:luann_van_houten
40,15,barney_gumble:lisa_simpson:moe_szyslak:homer_simpson
40,5,milhouse_van_houten:bart_simpson:marge_simpson
40,460,homer_simpson:thought_bubble_barney:female_voice:aristotle:kent_brockman:scott:chief_wiggum:security_guard
40,461,announcer:magic_johnson
41,463,miss_lois_pennycandy:krusty_the_clown:chief_wiggum:bart_simpson
41,465,miss_lois_pennycandy:marge_simpson
41,465,miss_lois_pennycandy:marge_simpson
41,5,marge_simpson:bart_simpson
41,275,milhouse_van_houten:bart_simpson
41,5,bart_simpson:marge_simpson
41,467,krusty_the_clown:sexy_female_recording:larry:apu_nahasapeemapetilon
41,467,krusty_the_clown:miss_lois_pennycandy:pennycandy
41,5,marge_simpson:bart_simpson:homer_simpson:krusty_the_clown:milhouse_van_houten:lisa_simpson
41,5,krusty_the_clown:homer_simpson:lisa_simpson:bart_simpson:marge_simpson
41,468,krusty_the_clown:man_1:rabbi_hyman_krustofsky:woman:man_2
41,5,homer_simpson:bart_simpson:lisa_simpson:krusty_the_clown
41,470,krusty_the_clown:rabbi_hyman_krustofsky
41,471,krusty_the_clown:rabbi_hyman_krustofsky:rabbi_1:rowdy_rabbi
41,5,krusty_the_clown:lisa_simpson:bart_simpson:marge_simpson:homer_simpson:milhouse_van_houten
41,473,announcer:martian
41,477,bart_simpson:rabbi_hyman_krustofsky
41,5,krusty_the_clown:bart_simpson:lisa_simpson
41,475,bart_simpson:rev_timothy_lovejoy:lisa_simpson
41,476,lisa_simpson:bart_simpson
41,477,lisa_simpson:rabbi_hyman_krustofsky:bart_simpson
41,199,dj:caller:rev_timothy_lovejoy:monsignor_daley:rabbi_hyman_krustofsky:bart_simpson
41,199,rev_timothy_lovejoy:monsignor_daley:rabbi_hyman_krustofsky
41,478,bart_simpson:yiddle
41,50,rabbi_hyman_krustofsky:rabbi_2:bart_simpson
41,5,bart_simpson:lisa_simpson
41,481,waitress:bart_simpson:rabbi_hyman_krustofsky:krusty_the_clown:lisa_simpson
41,90,lisa_simpson:bart_simpson
41,482,rabbi_hyman_krustofsky:bart_simpson
41,90,bart_simpson:lisa_simpson
41,483,bart_simpson:rabbi_hyman_krustofsky
41,484,bart_simpson:rabbi_hyman_krustofsky
41,485,rabbi_hyman_krustofsky:moe_szyslak:barney_gumble
41,50,bart_simpson:rabbi_hyman_krustofsky:lisa_simpson
41,485,krusty_the_clown:rabbi_hyman_krustofsky:stagehand
42,5,kent_brockman:homer_simpson:kearney_zzyzwicz:marge_simpson:bart_simpson:lisa_simpson
42,486,homer_simpson:lisa_simpson
42,487,bart_simpson:homer_simpson:merchant
42,487,merchant:homer_simpson
42,488,marge_simpson:homer_simpson:merchant
42,489,airport_announcer:customs_agent:military_cops:homer_simpson
42,5,bart_simpson:lisa_simpson:homer_simpson:marge_simpson
42,203,maitre_d:marge_simpson:woman_1:woman_2
42,5,marge_simpson:homer_simpson:lisa_simpson:english_diplomat:argentine_diplomat:krusty_the_clown:singers
42,492,kodos:kang:mayor_joe_quimby:apu_nahasapeemapetilon:colonel
42,492,lenny_leonard:kodos:female_office_worker:male_office_worker
42,5,bart_simpson:homer_simpson:ned_flanders:kodos:moe_szyslak:kang
42,492,kodos:kang
42,188,ned_flanders:homer_simpson
42,5,lisa_simpson:bart_simpson
42,495,townspeople:narrator:jasper_beardly
42,5,narrator:bart_simpson:lisa_simpson:marge_simpson:homer_simpson
42,71,bart_simpson:otto_mann:lou
42,3,edna_krabappel-flanders:seymour_skinner:bart_simpson
42,15,patrons:moe_szyslak:barney_gumble
42,3,seymour_skinner:bart_simpson
42,5,homer_simpson:bart_simpson:vin_scully:krusty_the_clown:kids_in_audience:marge_simpson
42,496,dr_marvin_monroe:bart_simpson:dr_monroe:homer_simpson
42,5,bart_simpson:lisa_simpson:marge_simpson:homer_simpson:bart_lisa:c_montgomery_burns
