Id, Name, Year, MinPlayers, MaxPlayers, MinPlayTime, MaxPlayTime, PlayingTime, NumOwned, Age,
83702, Käse Kaos, 2010, 2, 4, 20, 20, 20, 19, -1, 
130520, Kumbu: Dubbelzijdig Kaartspel, 2012, 2, 8, 10, 10, 10, 55, -1, 
191681, Lagoonies, 2016, 2, 4, 20, 20, 20, 124, -1, 
213491, The Legend of the Wendigo, 2017, 2, 6, 10, -1, 10, 224, -1, 
198060, Lex in Lemniscate, 2016, 2, 8, 10, 20, 20, 33, -1, 
22579, LSD: Linearity; Simplicity; Duality, 2006, 2, 4, 40, 40, 40, 34, -1, 
180977, Magecraft, 2016, 2, 4, 30, 60, 60, 168, -1, 
180156, Mare Nostrum: Empires – Atlas Expansion, 2016, 2, 6, 90, 120, 120, 2705, -1, 
63068, Mega Mindy: De ontsnapte boef, 2009, 2, 4, 20, 20, 20, 14, -1, 
99038, Monkeyland, 2011, 2, 5, 15, 15, 15, 60, -1, 
255175, Mutants, 2019, 2, 4, 45, 60, 60, 26, -1, 
27790, De Ontembare Stad: Het Verraad, 2008, 2, 5, 90, 90, 90, 156, -1, 
40585, Unser Bauernhof, -1, 2, 4, 15, 15, 15, 22, -1, 
255034, Papúa, 2018, 2, 4, 75, 75, 75, 136, -1, 
2884, Pathfinder, 1974, 2, 2, 20, 20, 20, 557, -1, 
209282, Picassimo, 2016, 3, 6, 30, -1, 30, 178, -1, 
252526, *pictures* Pictomania second, 2018, 3, 6, 20, 40, 40, 472, -1, 
165417, Puerto Diablo, 2015, 2, 5, 120, 120, 120, 80, -1, 
1252, Pyramidis, 1988, 2, 4, 30, 30, 30, 330, -1, 
260266, Sailblazer, 2018, 2, 4, 60, 60, 60, 23, -1, 
230315, The Sanctuary: Endangered Species, 2017, 2, 4, 30, 60, 60, 264, -1, 
165559, Sau-Bande!, 2014, 2, 4, 15, 15, 15, 70, -1, 
100172, Seven Sisters, 2012, 3, 6, 60, 60, 60, 206, -1, 
179548, Sweet Nose, 2016, 3, 5, 30, 45, 45, 141, -1, 
202582, Trellis, 2018, 2, 4, 20, 30, 30, 91, -1, 
22840, Wizzword, 1977, 2, 2, 10, 10, 10, 16, -1, 
238136, Elementum, 2018, 1, 4, 10, 30, 30, 67, -1, 
237211, Valhalla, 2018, 1, 6, 30, 60, 60, 550, -1, 
148639, Founders of the Empire, 2013, 2, 4, 30, 45, 45, 201, -1, 
1289, All The King's Men, 1970, 2, 2, 30, 30, 30, 870, -1, 
57052, Black Stories Real Crime Edition, 2009, 2, 15, 20, 20, 20, 977, -1, 
21544, Bread, 1989, 2, 6, 40, 40, 40, 12, -1, 
166081, Bucket of Doom, 2014, 4, 20, 30, 30, 30, 632, -1, 
5903, Cats' Mansion, 1984, 2, 4, 20, 20, 20, 170, -1, 
84889, Cave Evil, 2011, 2, 4, 180, 180, 180, 617, -1, 
186723, Cave Evil: Warcults, 2016, 2, 12, 120, 1000, 1000, 328, -1, 
125028, Colorpop, 2011, 1, 5, 10, 20, 20, 259, -1, 
18835, Credit Mobilier, 2013, 2, 5, 60, 60, 60, 285, -1, 
4576, Dealing with Murder: Fatal Error, 2000, 2, 6, 60, 60, 60, 83, -1, 
177921, Death Wish, 2017, 2, 8, 20, 45, 45, 251, -1, 
192263, Disturbed Friends: Suicide Deck, 2015, 4, 11, 10, 90, 90, 120, -1, 
5777, Electronic Detective, 1979, 1, 4, 45, 45, 45, 192, -1, 
183836, Ferox, 2015, 2, 2, 60, 90, 90, 175, -1, 
158093, Frankenstein's Bodies, 2014, 2, 6, 60, 60, 60, 224, -1, 
1956, Game of Dracula, 1977, 2, 4, 60, 60, 60, 109, -1, 
8063, Ghettopoly, 2003, 2, 7, 60, 60, 60, 233, -1, 
188192, Gogglebox TV Trivia Board Game, 2014, 2, 4, -1, -1, -1, 3, -1, 
69632, Greenrock Village: Tatort – Hotel, 2009, 2, 4, 60, 60, 60, 187, -1, 
156061, Imperialism: Road to Domination, 2014, 2, 4, 90, 90, 90, 281, -1, 
130728, Karolinchen, 2012, 2, 6, 20, 20, 20, 37, -1, 
84453, Nexos, 2010, 2, 4, 30, 30, 30, 119, -1, 
41763, Le Passe-Trappe Grande, 2008, 2, 2, 5, 5, 5, 121, -1, 
152174, Pressure Cooker, 2014, 2, 4, 45, 45, 45, 312, -1, 
165748, Psycho Raiders, 2014, 2, 7, 45, 45, 45, 318, -1, 
208807, Rainbow Rage, 2016, 2, 8, -1, -1, -1, 151, -1, 
158535, Spells of Doom, 2014, 2, 4, 60, 60, 60, 225, -1, 
17838, Streetsafe, 1991, 2, 6, -1, -1, -1, 5, -1, 
152851, Tales & Games: The Grasshopper & the Ant, 2015, 2, 4, 30, 30, 30, 899, -1, 
161928, Utter Nonsense, 2014, 4, 20, 30, 30, 30, 568, -1, 
42448, We Didn't Playtest This Either, 2009, 2, 10, 1, 10, 10, 1962, -1, 
147445, We Didn't Playtest This Pasted-On Theme at All!, 2014, 2, 10, 1, 10, 10, 433, -1, 
177437, YAK, 2015, 2, 6, -1, -1, -1, 74, -1, 
6564, 007 James Bond: You Only Live Twice, 1985, 2, 2, 20, 20, 20, 83, -1, 
369, 5ive Straight, 1958, 2, 9, 20, 20, 20, 421, -1, 
6703, The Amazing Spider Man Game with the Fantastic Four!, 1967, 2, 4, 30, 30, 30, 76, -1, 
8487, Ants in the Pants, 1969, 2, 4, 10, 10, 10, 381, -1, 
446, Avalanche, 1966, 2, 6, 30, 30, 30, 407, -1, 
7553, Babylon, 2003, 2, 2, 5, 5, 5, 414, -1, 
9571, Baha, 1989, 2, 6, 30, 30, 30, 145, -1, 
9545, The Batman Game, -1, 2, 6, 30, 30, 30, 180, -1, 
23204, Battle B-Daman, 2005, 1, 8, 30, 30, 30, 22, -1, 
6112, Battle Dome, 1994, 2, 4, 10, 10, 10, 173, -1, 
30326, Battleground: Crossbows & Catapults Tower Attack Expansion Pack, 2007, 2, 2, 30, 30, 30, 375, -1, 
30327, Battleground: Crossbows & Catapults – Knight Trebuchet vs. Orc Mortar (Twin Attack Armory Pack), 2007, 2, 2, 30, 30, 30, 338, -1, 
18754, Bible Balderdash, 1989, 2, 2, 45, 45, 45, 15, -1, 
150539, Big Picture Apples to Apples, 2012, 4, 6, 30, 30, 30, 346, -1, 
3427, Blockhead!, 1952, 1, 6, 10, 10, 10, 458, -1, 
2693, Bottle Topps, 1993, 1, 6, 30, 30, 30, 520, -1, 
8499, Bowl and Score, 1962, 1, 8, 15, 15, 15, 131, -1, 
3226, Bowl Bound, 1973, 1, 4, 60, 60, 60, 365, -1, 
3719, British Square, 1978, 2, 2, 20, 20, 20, 88, -1, 
5251, Camelot, 1930, 2, 2, 15, 15, 15, 722, -1, 
2444, Carrier Strike!, 1977, 2, 4, 45, 45, 45, 518, -1, 
11573, Celebrity Taboo, 1991, 4, -1, 25, 25, 25, 320, -1, 
66103, Checkers III, 1971, 3, 3, -1, -1, -1, 3, -1, 
4885, Chicken Out, 1988, 2, 4, 20, 20, 20, 123, -1, 
13628, Chitty Chitty Bang Bang, 1968, 2, 4, 30, 30, 30, 21, -1, 
2446, Chopper Strike, 1976, 2, 2, 45, 45, 45, 368, -1, 
5601, Commotion, 1989, 2, 6, 45, 45, 45, 70, -1, 
23582, Crazy Bluff, 2004, 2, 8, 30, 30, 30, 37, -1, 
101685, Dead Fellas, 2011, 2, 6, 30, 30, 30, 234, -1, 
107938, Dicecapades! Kerfuffle!, 2011, 2, 4, 30, 30, 30, 121, -1, 
59061, Drakon (first edition), 2001, 2, 6, 20, 20, 20, 278, -1, 
29109, Dust, 2007, 2, 6, 240, 240, 240, 2566, -1, 
7586, An Enchanting Evening, 1981, 2, 2, 60, 60, 60, 127, -1, 
