Juego,R1, P1, R2, P2, R3, P3, R4, P4, R5, P5, R6, P6, R7, P7, R8, P8, R9, P9, R10, P10
137297, 163968, 5.0, 147151, 5.0, 201808, 5.0, 230802, 5.0, 170042, 4.0, 28143, 4.0, 12942, 4.0, 72321, 4.0, 129622, 4.0, 27162, 4.0, 
137095, 137297, 1.0, 25292, 1.0, 257501, 1.0, 209872, 1.0, 176494, 1.0, 155821, 1.0, 35677, 1.0, 223494, 1.0, 199042, 1.0, 232000, 1.0, 
3243, 176494, 2.0, 35677, 2.0, 36218, 2.0, 39856, 2.0, 230802, 2.0, 185343, 2.0, 90419, 2.0, 31260, 2.0, 191189, 2.0, 155987, 2.0, 
172818, 69789, 6.0, 84876, 6.0, 43570, 6.0, 176494, 6.0, 164928, 6.0, 28143, 6.0, 178900, 6.0, 30549, 6.0, 224316, 6.0, 230802, 5.0, 
233867, 224316, 3.0, 213460, 3.0, 216091, 2.0, 230430, 2.0, 216092, 2.0, 258413, 2.0, 258412, 2.0, 258411, 2.0, 254226, 2.0, 229598, 2.0, 
10547, 172818, 2.0, 822, 2.0, 178900, 2.0, 181304, 2.0, 30549, 2.0, 147020, 2.0, 224316, 2.0, 143741, 1.0, 3955, 1.0, 27225, 1.0, 
198452, 10547, 1.0, 172818, 1.0, 822, 1.0, 178900, 1.0, 181304, 1.0, 30549, 1.0, 2511, 1.0, 147020, 1.0, 182631, 1.0, 213460, 1.0, 
822, 84876, 8.0, 28143, 8.0, 224316, 8.0, 8217, 7.0, 40692, 7.0, 230802, 7.0, 163412, 7.0, 157354, 7.0, 108745, 7.0, 161417, 7.0, 
178900, 157354, 8.0, 28143, 8.0, 84876, 7.0, 180263, 7.0, 164928, 7.0, 3076, 7.0, 147020, 7.0, 230802, 6.0, 107529, 6.0, 123540, 6.0, 
181304, 224316, 8.0, 176494, 6.0, 84876, 6.0, 157354, 5.0, 205059, 5.0, 68448, 5.0, 164928, 5.0, 28143, 5.0, 34635, 5.0, 172818, 5.0, 
