Juego,R1, P1, R2, P2, R3, P3, R4, P4, R5, P5, R6, P6, R7, P7, R8, P8, R9, P9, R10, P10
13884, 241386, 1.0, 237182, 1.0, 624, 1.0, 203780, 1.0, 2651, 1.0, 163412, 1.0, 221107, 1.0, 70149, 1.0, 2093, 1.0, 96848, 1.0, 
103235, 25021, 1.0, 108745, 1.0, 13884, 1.0, 241386, 1.0, 237182, 1.0, 624, 1.0, 203780, 1.0, 2651, 1.0, 163412, 1.0, 221107, 1.0, 
137269, 2651, 3.0, 70149, 3.0, 96848, 3.0, 122515, 3.0, 35677, 3.0, 30381, 3.0, 66362, 3.0, 155703, 3.0, 124361, 3.0, 216132, 3.0, 
22827, 137269, 1.0, 103235, 1.0, 25021, 1.0, 108745, 1.0, 13884, 1.0, 241386, 1.0, 237182, 1.0, 624, 1.0, 203780, 1.0, 2651, 1.0, 
38796, 22827, 1.0, 137269, 1.0, 103235, 1.0, 25021, 1.0, 108745, 1.0, 13884, 1.0, 241386, 1.0, 237182, 1.0, 624, 1.0, 203780, 1.0, 
149890, 120677, 2.0, 25021, 2.0, 108745, 2.0, 2651, 2.0, 163412, 2.0, 70149, 2.0, 140936, 2.0, 122515, 2.0, 66362, 2.0, 244522, 2.0, 
181289, 149890, 1.0, 120677, 1.0, 123260, 1.0, 38796, 1.0, 22827, 1.0, 137269, 1.0, 103235, 1.0, 25021, 1.0, 108745, 1.0, 13884, 1.0, 
150740, 149890, 2.0, 120677, 2.0, 25021, 2.0, 108745, 2.0, 2651, 2.0, 163412, 2.0, 70149, 2.0, 140936, 2.0, 122515, 2.0, 66362, 2.0, 
184895, 120677, 3.0, 108745, 3.0, 2651, 3.0, 163412, 3.0, 70149, 3.0, 122515, 3.0, 66362, 3.0, 84876, 3.0, 822, 3.0, 159508, 3.0, 
161317, 184895, 3.0, 120677, 3.0, 108745, 3.0, 2651, 3.0, 163412, 3.0, 70149, 3.0, 122515, 3.0, 66362, 3.0, 84876, 3.0, 822, 3.0, 
105037, 167791, 4.0, 163412, 4.0, 70149, 4.0, 122515, 4.0, 66362, 4.0, 84876, 4.0, 822, 4.0, 230802, 4.0, 69789, 4.0, 159508, 4.0, 
130960, 102680, 1.0, 105037, 1.0, 25613, 1.0, 167791, 1.0, 161317, 1.0, 184895, 1.0, 150740, 1.0, 181289, 1.0, 149890, 1.0, 120677, 1.0, 
16747, 2651, 5.0, 124361, 5.0, 102794, 5.0, 84876, 5.0, 34635, 4.0, 40692, 4.0, 8217, 4.0, 170042, 4.0, 28143, 4.0, 157354, 4.0, 
239307, 224316, 4.0, 228867, 3.0, 213460, 3.0, 229598, 2.0, 2511, 2.0, 245352, 2.0, 2651, 2.0, 124361, 2.0, 84876, 2.0, 173346, 2.0, 
230303, 224316, 6.0, 230304, 6.0, 230305, 6.0, 216092, 5.0, 2651, 5.0, 229632, 4.0, 9209, 4.0, 146508, 4.0, 40692, 4.0, 8217, 4.0, 
230304, 230303, 6.0, 224316, 6.0, 230305, 6.0, 216092, 5.0, 2651, 5.0, 229632, 4.0, 9209, 4.0, 146508, 4.0, 40692, 4.0, 8217, 4.0, 
230305, 230304, 6.0, 230303, 6.0, 224316, 6.0, 216092, 5.0, 2651, 5.0, 229632, 4.0, 9209, 4.0, 146508, 4.0, 40692, 4.0, 8217, 4.0, 
4192, 245353, 1.0, 230305, 1.0, 230304, 1.0, 230303, 1.0, 216091, 1.0, 224316, 1.0, 245354, 1.0, 230430, 1.0, 216092, 1.0, 239307, 1.0, 
4741, 4192, 1.0, 245353, 1.0, 230305, 1.0, 230304, 1.0, 230303, 1.0, 216091, 1.0, 224316, 1.0, 245354, 1.0, 230430, 1.0, 216092, 1.0, 
55253, 84876, 1.0, 23263, 1.0, 124361, 1.0, 230498, 1.0, 39856, 1.0, 203420, 1.0, 40628, 1.0, 66188, 1.0, 173090, 1.0, 106217, 1.0, 
23263, 84876, 1.0, 55253, 1.0, 124361, 1.0, 230498, 1.0, 39856, 1.0, 203420, 1.0, 40628, 1.0, 66188, 1.0, 173090, 1.0, 106217, 1.0, 
230498, 124361, 2.0, 84876, 2.0, 40628, 2.0, 66188, 2.0, 173090, 2.0, 148949, 2.0, 110327, 2.0, 244992, 2.0, 2651, 2.0, 3076, 2.0, 
40628, 84876, 5.0, 148949, 5.0, 34635, 5.0, 216132, 4.0, 157354, 4.0, 98778, 4.0, 176494, 4.0, 170042, 4.0, 27173, 4.0, 171623, 4.0, 
66188, 3076, 6.0, 50, 5.0, 24480, 5.0, 28143, 5.0, 8217, 5.0, 40692, 5.0, 27173, 5.0, 84876, 5.0, 2651, 5.0, 34635, 5.0, 
173090, 84876, 5.0, 110327, 5.0, 3076, 5.0, 224316, 5.0, 157354, 4.0, 113294, 4.0, 232219, 4.0, 245638, 4.0, 201808, 4.0, 155426, 4.0, 
106217, 173090, 3.0, 203420, 3.0, 84876, 3.0, 110327, 3.0, 244992, 3.0, 161936, 3.0, 3076, 3.0, 2511, 3.0, 34119, 3.0, 224316, 3.0, 
52461, 148949, 1.0, 106217, 1.0, 173090, 1.0, 66188, 1.0, 40628, 1.0, 203420, 1.0, 39856, 1.0, 230498, 1.0, 124361, 1.0, 23263, 1.0, 
244992, 84876, 5.0, 3076, 5.0, 224316, 5.0, 205059, 4.0, 107529, 4.0, 70323, 4.0, 54043, 4.0, 176494, 4.0, 43570, 4.0, 65244, 4.0, 
223996, 244992, 1.0, 110327, 1.0, 52461, 1.0, 148949, 1.0, 106217, 1.0, 173090, 1.0, 66188, 1.0, 40628, 1.0, 203420, 1.0, 39856, 1.0, 
34119, 3076, 4.0, 244992, 4.0, 203420, 4.0, 84876, 4.0, 224316, 4.0, 133473, 3.0, 147020, 3.0, 40692, 3.0, 108745, 3.0, 372, 3.0, 
2952, 34119, 1.0, 34635, 1.0, 2511, 1.0, 3076, 1.0, 2651, 1.0, 161936, 1.0, 223996, 1.0, 244992, 1.0, 110327, 1.0, 52461, 1.0, 
22278, 95105, 1.0, 118703, 1.0, 68448, 1.0, 3125, 1.0, 217, 1.0, 172818, 1.0, 155987, 1.0, 5, 1.0, 43868, 1.0, 119337, 1.0, 
27588, 230305, 3.0, 230304, 3.0, 230303, 3.0, 224316, 3.0, 216092, 3.0, 9209, 3.0, 40692, 3.0, 8217, 3.0, 28143, 3.0, 3076, 3.0, 
95105, 22278, 1.0, 118703, 1.0, 68448, 1.0, 3125, 1.0, 217, 1.0, 172818, 1.0, 155987, 1.0, 5, 1.0, 43868, 1.0, 119337, 1.0, 
118703, 68448, 2.0, 217, 2.0, 172818, 2.0, 155987, 2.0, 5, 2.0, 1315, 2.0, 118000, 2.0, 22545, 2.0, 65901, 2.0, 31260, 2.0, 
3125, 68448, 1.0, 118703, 1.0, 95105, 1.0, 22278, 1.0, 217, 1.0, 172818, 1.0, 155987, 1.0, 5, 1.0, 43868, 1.0, 119337, 1.0, 
217, 68448, 2.0, 118703, 2.0, 172818, 2.0, 155987, 2.0, 5, 2.0, 1315, 2.0, 118000, 2.0, 22545, 2.0, 65901, 2.0, 31260, 2.0, 
5, 68448, 3.0, 230802, 3.0, 136888, 3.0, 84876, 3.0, 102794, 3.0, 124361, 3.0, 162082, 3.0, 36218, 3.0, 177736, 3.0, 157354, 3.0, 
43868, 155987, 2.0, 172818, 2.0, 1315, 2.0, 31260, 2.0, 119890, 2.0, 90419, 2.0, 48726, 2.0, 185343, 2.0, 159508, 2.0, 236457, 2.0, 
119337, 43868, 1.0, 5, 1.0, 155987, 1.0, 172818, 1.0, 217, 1.0, 3125, 1.0, 68448, 1.0, 118703, 1.0, 95105, 1.0, 22278, 1.0, 
1315, 155987, 3.0, 172818, 3.0, 31260, 3.0, 119890, 3.0, 90419, 3.0, 48726, 3.0, 185343, 3.0, 159508, 3.0, 41933, 3.0, 69789, 3.0, 
118000, 1315, 2.0, 5, 2.0, 155987, 2.0, 172818, 2.0, 217, 2.0, 68448, 2.0, 118703, 2.0, 22545, 2.0, 65901, 2.0, 31260, 2.0, 
22545, 68448, 3.0, 31260, 3.0, 5404, 3.0, 8051, 3.0, 230802, 3.0, 39938, 3.0, 18602, 3.0, 27364, 3.0, 27746, 3.0, 521, 3.0, 
65901, 31260, 3.0, 90419, 3.0, 48726, 3.0, 159508, 3.0, 50750, 3.0, 127060, 3.0, 28720, 3.0, 136888, 3.0, 84876, 3.0, 155426, 3.0, 
155695, 65901, 1.0, 22545, 1.0, 118000, 1.0, 1315, 1.0, 119337, 1.0, 43868, 1.0, 5, 1.0, 155987, 1.0, 172818, 1.0, 217, 1.0, 
32116, 90419, 2.0, 119890, 2.0, 31260, 2.0, 65901, 2.0, 22545, 2.0, 118000, 2.0, 1315, 2.0, 5, 2.0, 155987, 2.0, 172818, 2.0, 
6249, 68448, 5.0, 230802, 5.0, 36218, 5.0, 224316, 5.0, 84876, 4.0, 5782, 4.0, 10, 4.0, 113294, 4.0, 157354, 4.0, 28143, 4.0, 
5404, 31260, 3.0, 22545, 3.0, 68448, 3.0, 8051, 3.0, 230802, 3.0, 39938, 3.0, 18602, 3.0, 27364, 3.0, 27746, 3.0, 521, 3.0, 
147253, 185343, 1.0, 5404, 1.0, 48726, 1.0, 6249, 1.0, 161970, 1.0, 32116, 1.0, 90419, 1.0, 119890, 1.0, 31260, 1.0, 155695, 1.0, 
19600, 147253, 1.0, 185343, 1.0, 5404, 1.0, 48726, 1.0, 6249, 1.0, 161970, 1.0, 32116, 1.0, 90419, 1.0, 119890, 1.0, 31260, 1.0, 
21641, 185343, 2.0, 5404, 2.0, 48726, 2.0, 32116, 2.0, 90419, 2.0, 119890, 2.0, 31260, 2.0, 65901, 2.0, 22545, 2.0, 118000, 2.0, 
105551, 159508, 2.0, 21641, 2.0, 185343, 2.0, 5404, 2.0, 48726, 2.0, 32116, 2.0, 90419, 2.0, 119890, 2.0, 31260, 2.0, 65901, 2.0, 
41933, 159508, 3.0, 185343, 3.0, 48726, 3.0, 90419, 3.0, 119890, 3.0, 31260, 3.0, 1315, 3.0, 155987, 3.0, 172818, 3.0, 69789, 3.0, 
67285, 41933, 1.0, 236457, 1.0, 105551, 1.0, 159508, 1.0, 21641, 1.0, 19600, 1.0, 147253, 1.0, 185343, 1.0, 5404, 1.0, 48726, 1.0, 
12005, 67285, 1.0, 41933, 1.0, 236457, 1.0, 105551, 1.0, 159508, 1.0, 21641, 1.0, 19600, 1.0, 147253, 1.0, 185343, 1.0, 5404, 1.0, 
168609, 236457, 3.0, 159508, 3.0, 185343, 3.0, 90419, 3.0, 119890, 3.0, 172818, 3.0, 69789, 3.0, 176544, 3.0, 230802, 3.0, 168681, 3.0, 
247324, 69789, 1.0, 166372, 1.0, 168609, 1.0, 12005, 1.0, 67285, 1.0, 41933, 1.0, 236457, 1.0, 105551, 1.0, 159508, 1.0, 21641, 1.0, 
92120, 247324, 1.0, 69789, 1.0, 166372, 1.0, 168609, 1.0, 12005, 1.0, 67285, 1.0, 41933, 1.0, 236457, 1.0, 105551, 1.0, 159508, 1.0, 
8051, 68448, 4.0, 230802, 4.0, 36218, 4.0, 3076, 4.0, 28143, 4.0, 8217, 4.0, 40692, 4.0, 432, 3.0, 34219, 3.0, 822, 3.0, 
15033, 8051, 1.0, 92120, 1.0, 247324, 1.0, 69789, 1.0, 166372, 1.0, 168609, 1.0, 12005, 1.0, 67285, 1.0, 41933, 1.0, 236457, 1.0, 
176544, 230802, 4.0, 90137, 4.0, 136888, 4.0, 153938, 4.0, 84876, 4.0, 278, 4.0, 201808, 4.0, 5782, 4.0, 147151, 4.0, 91312, 4.0, 
3955, 230802, 2.0, 8051, 2.0, 69789, 2.0, 6249, 2.0, 161970, 2.0, 172818, 2.0, 68448, 2.0, 168435, 2.0, 2453, 2.0, 170216, 2.0, 
550, 230802, 2.0, 176544, 2.0, 6249, 2.0, 5, 2.0, 68448, 2.0, 90137, 2.0, 170216, 2.0, 172308, 2.0, 136888, 2.0, 153938, 2.0, 
151022, 550, 1.0, 3955, 1.0, 230802, 1.0, 39351, 1.0, 176544, 1.0, 15033, 1.0, 8051, 1.0, 92120, 1.0, 247324, 1.0, 69789, 1.0, 
32484, 151022, 1.0, 550, 1.0, 3955, 1.0, 230802, 1.0, 39351, 1.0, 176544, 1.0, 15033, 1.0, 8051, 1.0, 92120, 1.0, 247324, 1.0, 
50750, 159508, 3.0, 48726, 3.0, 90419, 3.0, 31260, 3.0, 65901, 3.0, 127060, 3.0, 28720, 3.0, 136888, 3.0, 84876, 3.0, 155426, 3.0, 
168435, 230802, 3.0, 8051, 3.0, 69789, 3.0, 172818, 3.0, 68448, 3.0, 84876, 3.0, 155426, 3.0, 209685, 3.0, 178900, 3.0, 36218, 3.0, 
168681, 230802, 3.0, 176544, 3.0, 69789, 3.0, 168609, 3.0, 236457, 3.0, 159508, 3.0, 185343, 3.0, 90419, 3.0, 119890, 3.0, 172818, 3.0, 
40503, 168681, 1.0, 168435, 1.0, 50750, 1.0, 25417, 1.0, 32484, 1.0, 151022, 1.0, 550, 1.0, 3955, 1.0, 230802, 1.0, 39351, 1.0, 
2453, 168435, 2.0, 3955, 2.0, 230802, 2.0, 8051, 2.0, 69789, 2.0, 6249, 2.0, 161970, 2.0, 172818, 2.0, 68448, 2.0, 170216, 2.0, 
90137, 230802, 4.0, 176544, 4.0, 136888, 4.0, 153938, 4.0, 84876, 4.0, 278, 4.0, 201808, 4.0, 5782, 4.0, 147151, 4.0, 91312, 4.0, 
180593, 230802, 4.0, 69789, 4.0, 159508, 4.0, 185343, 4.0, 90419, 4.0, 119890, 4.0, 172818, 4.0, 136888, 4.0, 84876, 4.0, 155426, 4.0, 
140933, 180593, 3.0, 90137, 3.0, 168681, 3.0, 230802, 3.0, 176544, 3.0, 69789, 3.0, 168609, 3.0, 236457, 3.0, 159508, 3.0, 185343, 3.0, 
69, 140933, 1.0, 180593, 1.0, 170216, 1.0, 90137, 1.0, 2453, 1.0, 157403, 1.0, 40503, 1.0, 168681, 1.0, 168435, 1.0, 50750, 1.0, 
10997, 25417, 2.0, 230802, 2.0, 8051, 2.0, 5404, 2.0, 6249, 2.0, 31260, 2.0, 22545, 2.0, 68448, 2.0, 39938, 2.0, 13, 2.0, 
131835, 127060, 1.0, 10997, 1.0, 69, 1.0, 140933, 1.0, 180593, 1.0, 170216, 1.0, 90137, 1.0, 2453, 1.0, 157403, 1.0, 40503, 1.0, 
398, 131835, 1.0, 127060, 1.0, 10997, 1.0, 69, 1.0, 140933, 1.0, 180593, 1.0, 170216, 1.0, 90137, 1.0, 2453, 1.0, 157403, 1.0, 
2981, 28720, 1.0, 398, 1.0, 131835, 1.0, 127060, 1.0, 10997, 1.0, 69, 1.0, 140933, 1.0, 180593, 1.0, 170216, 1.0, 90137, 1.0, 
8190, 2981, 1.0, 28720, 1.0, 398, 1.0, 131835, 1.0, 127060, 1.0, 10997, 1.0, 69, 1.0, 140933, 1.0, 180593, 1.0, 170216, 1.0, 
72242, 8190, 1.0, 2981, 1.0, 28720, 1.0, 398, 1.0, 131835, 1.0, 127060, 1.0, 10997, 1.0, 69, 1.0, 140933, 1.0, 180593, 1.0, 
172308, 84876, 4.0, 113294, 4.0, 157354, 4.0, 70323, 4.0, 28143, 4.0, 121921, 4.0, 8217, 4.0, 108745, 4.0, 40692, 4.0, 146508, 4.0, 
144553, 136888, 2.0, 140933, 2.0, 180593, 2.0, 90137, 2.0, 168681, 2.0, 230802, 2.0, 176544, 2.0, 69789, 2.0, 168609, 2.0, 236457, 2.0, 
38032, 136888, 2.0, 28720, 2.0, 127060, 2.0, 180593, 2.0, 168435, 2.0, 50750, 2.0, 230802, 2.0, 39351, 2.0, 8051, 2.0, 69789, 2.0, 
21464, 38032, 2.0, 136888, 2.0, 28720, 2.0, 127060, 2.0, 180593, 2.0, 168435, 2.0, 50750, 2.0, 230802, 2.0, 39351, 2.0, 8051, 2.0, 
38873, 21464, 1.0, 38032, 1.0, 144553, 1.0, 136888, 1.0, 172308, 1.0, 72242, 1.0, 8190, 1.0, 2981, 1.0, 28720, 1.0, 398, 1.0, 
159503, 224316, 4.0, 213460, 3.0, 153938, 3.0, 136888, 3.0, 140933, 3.0, 180593, 3.0, 90137, 3.0, 168681, 3.0, 230802, 3.0, 176544, 3.0, 
90305, 159503, 3.0, 153938, 3.0, 136888, 3.0, 140933, 3.0, 180593, 3.0, 90137, 3.0, 168681, 3.0, 230802, 3.0, 176544, 3.0, 69789, 3.0, 
39938, 230802, 4.0, 31260, 4.0, 27364, 4.0, 36218, 4.0, 45315, 4.0, 33160, 4.0, 19100, 4.0, 50, 4.0, 21763, 4.0, 24480, 4.0, 
25823, 39938, 1.0, 90305, 1.0, 159503, 1.0, 153938, 1.0, 38873, 1.0, 21464, 1.0, 38032, 1.0, 144553, 1.0, 136888, 1.0, 172308, 1.0, 
43443, 230802, 3.0, 6249, 3.0, 68448, 3.0, 84876, 3.0, 36218, 3.0, 155703, 3.0, 157354, 3.0, 98778, 3.0, 176494, 3.0, 181304, 3.0, 
155426, 84876, 6.0, 157354, 6.0, 176494, 6.0, 164928, 6.0, 3076, 6.0, 28143, 6.0, 8217, 6.0, 40692, 6.0, 822, 5.0, 68425, 5.0, 
57390, 155426, 2.0, 84876, 2.0, 39938, 2.0, 21464, 2.0, 38032, 2.0, 136888, 2.0, 28720, 2.0, 127060, 2.0, 180593, 2.0, 168435, 2.0, 
254894, 57390, 1.0, 155426, 1.0, 84876, 1.0, 43443, 1.0, 25823, 1.0, 39938, 1.0, 90305, 1.0, 159503, 1.0, 153938, 1.0, 38873, 1.0, 
67239, 155426, 2.0, 84876, 2.0, 136888, 2.0, 172308, 2.0, 28720, 2.0, 127060, 2.0, 50750, 2.0, 236457, 2.0, 159508, 2.0, 48726, 2.0, 
27364, 39938, 4.0, 230802, 4.0, 31260, 4.0, 36218, 4.0, 45315, 4.0, 33160, 4.0, 19100, 4.0, 50, 4.0, 21763, 4.0, 24480, 4.0, 
242574, 27364, 1.0, 18602, 1.0, 102794, 1.0, 67239, 1.0, 278, 1.0, 13, 1.0, 254894, 1.0, 57390, 1.0, 155426, 1.0, 84876, 1.0, 
31730, 209685, 2.0, 27364, 2.0, 18602, 2.0, 102794, 2.0, 57390, 2.0, 155426, 2.0, 84876, 2.0, 39938, 2.0, 21464, 2.0, 38032, 2.0, 
18100, 31730, 2.0, 209685, 2.0, 27364, 2.0, 18602, 2.0, 102794, 2.0, 57390, 2.0, 155426, 2.0, 84876, 2.0, 39938, 2.0, 21464, 2.0, 
554, 155426, 4.0, 84876, 4.0, 136888, 4.0, 180593, 4.0, 230802, 4.0, 69789, 4.0, 159508, 4.0, 185343, 4.0, 90419, 4.0, 119890, 4.0, 
123499, 554, 2.0, 18100, 2.0, 31730, 2.0, 209685, 2.0, 27364, 2.0, 18602, 2.0, 102794, 2.0, 57390, 2.0, 155426, 2.0, 84876, 2.0, 
104994, 123499, 1.0, 554, 1.0, 478, 1.0, 239188, 1.0, 18100, 1.0, 31730, 1.0, 172287, 1.0, 209685, 1.0, 242574, 1.0, 27364, 1.0, 
4636, 201808, 2.0, 478, 2.0, 27364, 2.0, 18602, 2.0, 278, 2.0, 13, 2.0, 39938, 2.0, 10997, 2.0, 25417, 2.0, 230802, 2.0, 
22141, 4636, 2.0, 201808, 2.0, 478, 2.0, 27364, 2.0, 18602, 2.0, 278, 2.0, 13, 2.0, 39938, 2.0, 10997, 2.0, 25417, 2.0, 
24795, 22141, 1.0, 216132, 1.0, 4636, 1.0, 201808, 1.0, 104994, 1.0, 123499, 1.0, 554, 1.0, 478, 1.0, 239188, 1.0, 18100, 1.0, 
143515, 201808, 3.0, 554, 3.0, 239188, 3.0, 278, 3.0, 155426, 3.0, 84876, 3.0, 90305, 3.0, 159503, 3.0, 153938, 3.0, 136888, 3.0, 
56707, 245638, 2.0, 178900, 2.0, 216132, 2.0, 123499, 2.0, 554, 2.0, 18100, 2.0, 31730, 2.0, 209685, 2.0, 27364, 2.0, 18602, 2.0, 
5782, 230802, 6.0, 113294, 6.0, 28143, 6.0, 8217, 6.0, 40692, 6.0, 224316, 6.0, 822, 5.0, 201808, 5.0, 278, 5.0, 84876, 5.0, 
27746, 230802, 4.0, 68448, 4.0, 521, 4.0, 36218, 4.0, 40834, 4.0, 34635, 4.0, 27173, 4.0, 38386, 3.0, 66690, 3.0, 14996, 3.0, 
26990, 124361, 2.0, 27746, 2.0, 56707, 2.0, 245638, 2.0, 178900, 2.0, 216132, 2.0, 123499, 2.0, 554, 2.0, 18100, 2.0, 31730, 2.0, 
114031, 26990, 2.0, 124361, 2.0, 27746, 2.0, 56707, 2.0, 245638, 2.0, 178900, 2.0, 216132, 2.0, 123499, 2.0, 554, 2.0, 18100, 2.0, 
98351, 147151, 3.0, 5782, 3.0, 245638, 3.0, 178900, 3.0, 143515, 3.0, 201808, 3.0, 554, 3.0, 239188, 3.0, 278, 3.0, 155426, 3.0, 
173101, 124361, 2.0, 245638, 2.0, 216132, 2.0, 201808, 2.0, 478, 2.0, 172287, 2.0, 18602, 2.0, 102794, 2.0, 67239, 2.0, 155426, 2.0, 
131357, 147151, 3.0, 5782, 3.0, 178900, 3.0, 239188, 3.0, 155426, 3.0, 84876, 3.0, 153938, 3.0, 230802, 3.0, 69789, 3.0, 161970, 3.0, 
187653, 98351, 2.0, 147151, 2.0, 5782, 2.0, 245638, 2.0, 178900, 2.0, 143515, 2.0, 201808, 2.0, 554, 2.0, 239188, 2.0, 172287, 2.0, 
521, 27746, 4.0, 230802, 4.0, 68448, 4.0, 36218, 4.0, 40834, 4.0, 34635, 4.0, 27173, 4.0, 38386, 3.0, 66690, 3.0, 14996, 3.0, 
30380, 521, 2.0, 114031, 2.0, 26990, 2.0, 124361, 2.0, 27746, 2.0, 56707, 2.0, 245638, 2.0, 178900, 2.0, 216132, 2.0, 123499, 2.0, 
143986, 173101, 2.0, 124361, 2.0, 245638, 2.0, 216132, 2.0, 201808, 2.0, 478, 2.0, 172287, 2.0, 18602, 2.0, 102794, 2.0, 67239, 2.0, 
59960, 54998, 1.0, 143986, 1.0, 30380, 1.0, 521, 1.0, 187653, 1.0, 131357, 1.0, 173101, 1.0, 98351, 1.0, 114031, 1.0, 26990, 1.0, 
170146, 59960, 1.0, 54998, 1.0, 143986, 1.0, 30380, 1.0, 521, 1.0, 187653, 1.0, 131357, 1.0, 173101, 1.0, 98351, 1.0, 114031, 1.0, 
44, 170146, 1.0, 59960, 1.0, 54998, 1.0, 143986, 1.0, 30380, 1.0, 521, 1.0, 187653, 1.0, 131357, 1.0, 173101, 1.0, 98351, 1.0, 
125678, 131357, 2.0, 147151, 2.0, 5782, 2.0, 178900, 2.0, 239188, 2.0, 209685, 2.0, 13, 2.0, 155426, 2.0, 84876, 2.0, 43443, 2.0, 
150376, 147151, 4.0, 5782, 4.0, 178900, 4.0, 239188, 4.0, 155426, 4.0, 84876, 4.0, 153938, 4.0, 230802, 4.0, 69789, 4.0, 172818, 4.0, 
245045, 150376, 1.0, 125678, 1.0, 44, 1.0, 170146, 1.0, 59960, 1.0, 54998, 1.0, 143986, 1.0, 30380, 1.0, 521, 1.0, 187653, 1.0, 
218311, 150376, 2.0, 187653, 2.0, 98351, 2.0, 147151, 2.0, 5782, 2.0, 245638, 2.0, 178900, 2.0, 143515, 2.0, 201808, 2.0, 554, 2.0, 
101, 230498, 1.0, 218311, 1.0, 245045, 1.0, 150376, 1.0, 125678, 1.0, 44, 1.0, 170146, 1.0, 59960, 1.0, 54998, 1.0, 143986, 1.0, 
37907, 245638, 3.0, 178900, 3.0, 554, 3.0, 155426, 3.0, 84876, 3.0, 136888, 3.0, 180593, 3.0, 230802, 3.0, 69789, 3.0, 159508, 3.0, 
179572, 150376, 2.0, 125678, 2.0, 131357, 2.0, 147151, 2.0, 5782, 2.0, 178900, 2.0, 239188, 2.0, 209685, 2.0, 13, 2.0, 155426, 2.0, 
184917, 179572, 1.0, 37907, 1.0, 162082, 1.0, 101, 1.0, 230498, 1.0, 218311, 1.0, 245045, 1.0, 150376, 1.0, 125678, 1.0, 44, 1.0, 
112445, 483, 1.0, 184917, 1.0, 179572, 1.0, 37907, 1.0, 162082, 1.0, 101, 1.0, 230498, 1.0, 218311, 1.0, 245045, 1.0, 150376, 1.0, 
171669, 150376, 3.0, 98351, 3.0, 147151, 3.0, 5782, 3.0, 245638, 3.0, 178900, 3.0, 143515, 3.0, 201808, 3.0, 554, 3.0, 239188, 3.0, 
2633, 92828, 1.0, 91312, 1.0, 171669, 1.0, 112445, 1.0, 483, 1.0, 184917, 1.0, 179572, 1.0, 37907, 1.0, 162082, 1.0, 101, 1.0, 
129615, 2633, 1.0, 92828, 1.0, 91312, 1.0, 171669, 1.0, 112445, 1.0, 483, 1.0, 184917, 1.0, 179572, 1.0, 37907, 1.0, 162082, 1.0, 
96260, 62219, 1.0, 129615, 1.0, 2633, 1.0, 92828, 1.0, 91312, 1.0, 171669, 1.0, 112445, 1.0, 483, 1.0, 184917, 1.0, 179572, 1.0, 
13004, 40834, 3.0, 36218, 3.0, 521, 3.0, 27746, 3.0, 230802, 3.0, 6249, 3.0, 68448, 3.0, 37380, 3.0, 34635, 3.0, 30869, 3.0, 
232219, 245638, 4.0, 201808, 4.0, 155426, 4.0, 84876, 4.0, 136888, 4.0, 236457, 4.0, 159508, 4.0, 90419, 4.0, 113294, 4.0, 157354, 4.0, 
161138, 232219, 1.0, 13004, 1.0, 40834, 1.0, 36218, 1.0, 96260, 1.0, 62219, 1.0, 129615, 1.0, 2633, 1.0, 92828, 1.0, 91312, 1.0, 
66171, 13004, 2.0, 40834, 2.0, 36218, 2.0, 521, 2.0, 27746, 2.0, 5782, 2.0, 22141, 2.0, 4636, 2.0, 201808, 2.0, 478, 2.0, 
102548, 40834, 2.0, 36218, 2.0, 37907, 2.0, 162082, 2.0, 30380, 2.0, 521, 2.0, 114031, 2.0, 26990, 2.0, 124361, 2.0, 27746, 2.0, 
45315, 21763, 5.0, 36218, 4.0, 27364, 4.0, 39938, 4.0, 230802, 4.0, 31260, 4.0, 68448, 4.0, 33160, 4.0, 19100, 4.0, 50, 4.0, 
80771, 97207, 1.0, 45315, 1.0, 102548, 1.0, 66171, 1.0, 161138, 1.0, 232219, 1.0, 13004, 1.0, 40834, 1.0, 36218, 1.0, 96260, 1.0, 
172220, 59946, 1.0, 80771, 1.0, 97207, 1.0, 45315, 1.0, 102548, 1.0, 66171, 1.0, 161138, 1.0, 232219, 1.0, 13004, 1.0, 40834, 1.0, 
91872, 172220, 1.0, 59946, 1.0, 80771, 1.0, 97207, 1.0, 45315, 1.0, 102548, 1.0, 66171, 1.0, 161138, 1.0, 232219, 1.0, 13004, 1.0, 
228668, 91872, 1.0, 172220, 1.0, 59946, 1.0, 80771, 1.0, 97207, 1.0, 45315, 1.0, 102548, 1.0, 66171, 1.0, 161138, 1.0, 232219, 1.0, 
66356, 228668, 1.0, 91872, 1.0, 172220, 1.0, 59946, 1.0, 80771, 1.0, 97207, 1.0, 45315, 1.0, 102548, 1.0, 66171, 1.0, 161138, 1.0, 
2346, 162082, 3.0, 124361, 3.0, 245638, 3.0, 216132, 3.0, 18602, 3.0, 102794, 3.0, 155426, 3.0, 84876, 3.0, 136888, 3.0, 28720, 3.0, 
85250, 2346, 2.0, 45315, 2.0, 102548, 2.0, 40834, 2.0, 36218, 2.0, 37907, 2.0, 162082, 2.0, 30380, 2.0, 521, 2.0, 114031, 2.0, 
10, 36218, 4.0, 5782, 4.0, 230802, 4.0, 6249, 4.0, 68448, 4.0, 113294, 4.0, 28143, 4.0, 8217, 4.0, 40692, 4.0, 9209, 4.0, 
