Id, Name, Year, MinPlayers, MaxPlayers, MinPlayTime, MaxPlayTime, PlayingTime, NumOwned, Age,
177590, 13 Jours: La Crise des missiles de Cuba 1962, 2017, 2, 2, 30, 45, 45, 4679, -1, 
128996, 1775: Rebellion, 2013, 2, 4, 60, 120, 120, 4443, -1, 
94246, 1812: The Invasion of Canada, 2011, 2, 5, 90, 90, 90, 2611, -1, 
27708, 1960: The Making of the President, 2017, 2, 2, 90, 120, 120, 9267, -1, 
127838, 7 Wonders: Leaders – Louis, 2012, 2, 7, 40, 40, 40, 4319, -1, 
136217, Age of Industry Expansion: Belgium & USSR, 2013, 2, 5, 120, 120, 120, 561, -1, 
121285, Age of Industry Expansion: Great Lakes & South Africa, 2013, 2, 5, 120, 120, 120, 608, -1, 
45358, Alhambra: Big Box, 2009, 2, 6, 60, 60, 60, 7577, -1, 
161118, Alien Frontiers: Expansion Pack #1, 2015, 2, 4, 90, 90, 90, 1627, -1, 
161120, Alien Frontiers: Expansion Pack #2, 2015, 2, 4, 90, 90, 90, 1564, -1, 
161121, Alien Frontiers: Expansion Pack #3, 2015, 2, 4, 90, 90, 90, 1491, -1, 
161122, Alien Frontiers: Expansion Pack #4, 2015, 2, 4, 90, 90, 90, 1491, -1, 
161123, Alien Frontiers: Expansion Pack #5, 2015, 2, 4, 90, 90, 90, 1466, -1, 
161124, Alien Frontiers: Expansion Pack #6, 2015, 2, 4, 90, 90, 90, 1430, -1, 
171857, Alien Frontiers: Expansion Pack #7, 2015, 2, 6, -1, -1, -1, 993, -1, 
107407, Alien Frontiers: Faction Pack #1, 2013, 2, 5, 90, 90, 90, 2790, -1, 
142647, Alien Frontiers: Faction Pack #2, 2013, 2, 5, -1, -1, -1, 1438, -1, 
142648, Alien Frontiers: Faction Pack #3, 2015, 2, 5, -1, -1, -1, 1362, -1, 
142649, Alien Frontiers: Faction Pack #4, 2014, 2, 5, -1, -1, -1, 1302, -1, 
93193, Alien Frontiers: Factions, 2017, 2, 4, 60, 60, 60, 4823, -1, 
34194, Aquaretto, 2008, 2, 5, 45, 45, 45, 2896, -1, 
248492, Architects of the West Kingdom: Extra Apprentices, 2018, 1, 5, 60, 80, 80, 941, -1, 
248491, Architects of the West Kingdom: Extra Buildings, 2018, 1, 5, 60, 80, 80, 936, -1, 
248493, Architects of the West Kingdom: Extra Player Boards, 2018, 1, 5, 60, 80, 80, 934, -1, 
